district,month,hour,day_of_week,risk_score,risk_level
4,9,1,4,0.6746,High
13,2,19,2,0.5283,Medium
20,4,4,2,0.337,Low
1,4,11,6,0.7486,High
8,7,3,6,0.8632,High
14,1,17,5,0.4007,Medium
16,5,19,4,0.4195,Medium
14,11,10,1,0.2748,Low
12,4,20,4,0.4628,Medium
19,2,19,0,0.4887,Medium
23,5,5,1,0.2857,Low
15,9,12,1,0.7038,High
2,8,22,5,1.0,High
2,9,4,4,0.5873,Medium
23,7,3,4,0.5469,Medium
22,10,9,3,0.3317,Low
19,7,1,5,0.6773,High
25,2,7,3,0.2834,Low
22,12,19,2,0.4565,Medium
22,3,19,3,0.3518,Low
17,11,2,6,0.744,High
20,10,8,2,0.3667,Low
10,8,19,0,0.8574,High
6,11,1,3,0.9114,High
15,2,16,4,0.479,Medium
22,7,0,2,0.5244,Medium
11,12,23,6,0.6327,Medium
5,6,16,5,0.5694,Medium
1,12,4,5,0.624,Medium
8,10,12,6,0.5328,Medium
21,4,7,2,0.5554,Medium
12,11,6,6,0.4729,Medium
12,4,22,0,0.5568,Medium
5,3,13,3,0.5466,Medium
7,6,7,4,0.4902,Medium
4,3,10,2,0.4222,Medium
6,9,2,0,0.8374,High
13,4,4,0,0.5751,Medium
20,4,17,3,0.4923,Medium
15,2,4,4,0.5173,Medium
3,2,12,3,0.2701,Low
23,7,4,2,0.2152,Low
8,5,1,5,0.6632,High
20,3,12,4,0.2411,Low
16,6,5,6,0.5003,Medium
13,6,16,5,0.6294,Medium
18,1,7,6,0.3361,Low
10,3,16,3,0.6569,High
19,12,18,6,0.4431,Medium
17,5,14,4,0.1915,Low
24,11,0,6,0.6561,High
19,11,17,0,0.5593,Medium
23,7,6,5,0.4227,Medium
5,4,6,5,0.5326,Medium
21,12,15,0,0.4222,Medium
23,8,10,1,0.2721,Low
9,3,4,0,0.6373,Medium
12,6,20,3,0.4769,Medium
21,6,13,0,0.5651,Medium
1,9,22,5,0.8452,High
1,4,9,5,0.8319,High
15,7,4,2,0.626,Medium
2,10,23,0,0.933,High
22,1,18,5,0.3309,Low
16,11,17,5,0.6309,Medium
25,1,3,5,0.4531,Medium
8,2,22,3,0.5674,Medium
13,4,8,2,0.5323,Medium
21,12,18,5,0.6095,Medium
1,6,10,1,0.6953,High
16,4,2,0,0.5551,Medium
7,6,10,1,0.3711,Low
5,2,6,3,0.3628,Low
22,9,16,6,0.3049,Low
23,11,22,4,0.5764,Medium
3,3,17,5,0.6661,High
12,7,14,3,0.3328,Low
16,1,16,0,0.2153,Low
19,8,16,6,0.3048,Low
5,4,23,6,0.7384,High
22,11,9,6,0.502,Medium
25,12,14,1,0.3098,Low
14,5,22,3,0.5074,Medium
5,7,15,1,0.5192,Medium
15,3,14,2,0.5838,Medium
17,9,8,6,0.4748,Medium
14,9,20,5,0.4696,Medium
20,8,18,1,0.5765,Medium
5,1,0,6,0.6634,High
12,12,1,3,0.4502,Medium
16,12,5,2,0.256,Low
16,2,23,3,0.3901,Low
21,2,8,4,0.3836,Low
7,3,23,0,0.4583,Medium
4,2,17,5,0.5563,Medium
1,1,0,3,0.859,High
5,11,9,2,0.6359,Medium
23,5,3,5,0.5531,Medium
10,6,13,4,0.7435,High
22,7,20,1,0.5912,Medium
5,10,5,3,0.4302,Medium
4,7,19,5,0.6172,Medium
2,2,4,5,0.5371,Medium
20,7,14,3,0.3471,Low
10,2,23,1,0.6695,High
19,2,9,6,0.3889,Low
1,12,2,2,0.736,High
24,6,16,1,0.3494,Low
5,6,8,4,0.5692,Medium
13,8,8,6,0.6615,High
4,5,14,3,0.4878,Medium
16,5,17,1,0.5184,Medium
24,10,2,6,0.6936,High
16,1,7,3,0.2144,Low
23,4,2,3,0.5313,Medium
2,1,18,5,0.7938,High
17,10,21,6,0.5844,Medium
20,5,12,6,0.3113,Low
24,8,21,3,0.5725,Medium
12,1,15,5,0.2467,Low
18,3,6,6,0.3329,Low
3,1,19,6,0.5196,Medium
1,6,4,1,0.7556,High
1,10,18,1,0.9817,High
19,1,1,5,0.592,Medium
11,10,2,5,0.6056,Medium
5,12,2,0,0.6215,Medium
12,3,1,6,0.4963,Medium
3,5,15,1,0.4383,Medium
1,5,16,5,0.7189,High
1,2,15,4,0.5095,Medium
8,3,15,2,0.3868,Low
10,9,18,0,0.6559,High
11,1,16,3,0.1933,Low
12,1,23,1,0.4082,Medium
13,12,4,6,0.4488,Medium
12,2,11,2,0.3373,Low
14,8,21,2,0.5401,Medium
2,6,11,2,0.6983,High
19,4,6,3,0.2834,Low
18,7,6,5,0.3898,Low
3,6,3,0,0.8081,High
23,9,5,2,0.2536,Low
17,6,15,0,0.2848,Low
8,2,7,4,0.4978,Medium
10,3,5,4,0.5728,Medium
2,9,22,2,0.9931,High
19,7,18,5,0.6244,Medium
9,6,9,2,0.7908,High
7,5,15,4,0.2124,Low
4,3,1,0,0.7582,High
21,4,13,0,0.5635,Medium
18,1,10,0,0.1392,Low
13,5,23,1,0.6651,High
11,7,23,6,0.6162,Medium
24,2,1,4,0.4293,Medium
4,11,2,1,0.7398,High
25,12,21,1,0.4977,Medium
21,8,10,6,0.4846,Medium
25,12,3,4,0.5632,Medium
4,10,13,1,0.5456,Medium
10,6,4,6,0.715,High
5,10,2,6,0.8214,High
9,3,7,1,0.6356,Medium
24,2,9,5,0.3273,Low
3,8,11,3,0.611,Medium
17,4,7,4,0.2677,Low
3,7,22,2,0.7678,High
16,7,6,2,0.2948,Low
4,10,1,0,0.7936,High
18,9,11,0,0.2893,Low
17,10,21,6,0.6057,Medium
7,8,19,2,0.4683,Medium
24,12,10,0,0.2015,Low
23,8,8,1,0.3046,Low
5,7,4,6,0.5706,Medium
12,10,5,5,0.4522,Medium
17,5,6,2,0.2937,Low
23,9,13,2,0.3142,Low
13,12,17,5,0.6077,Medium
23,11,14,0,0.3443,Low
25,7,0,0,0.4593,Medium
3,12,15,6,0.4818,Medium
9,11,14,1,0.8044,High
17,3,21,5,0.5011,Medium
17,12,8,1,0.4401,Medium
20,6,6,3,0.3761,Low
16,3,11,2,0.3299,Low
25,6,8,6,0.5127,Medium
22,8,11,1,0.4,Medium
13,9,10,1,0.4397,Medium
19,2,2,1,0.5012,Medium
17,6,12,1,0.3195,Low
4,3,4,2,0.5005,Medium
12,7,21,0,0.5935,Medium
9,11,21,0,0.8737,High
19,4,20,4,0.3984,Low
12,5,17,0,0.3476,Low
9,10,10,0,0.723,High
7,6,2,4,0.5988,Medium
14,11,21,3,0.4612,Medium
20,8,8,3,0.341,Low
19,2,7,5,0.2569,Low
15,4,23,5,0.9437,High
16,11,7,4,0.429,Medium
21,4,12,4,0.4514,Medium
5,6,10,2,0.6925,High
3,4,5,6,0.5337,Medium
12,11,12,6,0.4868,Medium
25,5,10,4,0.2703,Low
20,5,13,2,0.1866,Low
21,8,13,3,0.4747,Medium
4,4,18,2,0.6774,High
21,12,4,0,0.3704,Low
23,6,14,0,0.355,Low
16,7,12,4,0.3529,Low
25,8,23,3,0.6927,High
7,9,15,5,0.3727,Low
13,10,18,4,0.6866,High
21,8,16,3,0.4913,Medium
10,4,15,2,0.4859,Medium
7,4,13,0,0.2465,Low
14,10,16,1,0.3487,Low
5,11,6,1,0.5104,Medium
3,5,5,2,0.3792,Low
23,3,4,1,0.1856,Low
11,2,23,3,0.496,Medium
11,2,23,2,0.4308,Medium
18,9,0,1,0.5195,Medium
15,8,15,1,0.596,Medium
12,6,22,0,0.5856,Medium
9,9,13,3,0.663,High
10,5,1,1,0.8889,High
12,12,3,5,0.5654,Medium
17,10,0,0,0.5677,Medium
6,1,1,0,0.7889,High
7,8,8,1,0.4217,Medium
14,3,0,4,0.5411,Medium
13,9,22,5,0.7735,High
8,11,19,5,0.7693,High
10,1,22,1,0.8068,High
9,3,15,0,0.7236,High
18,1,13,0,0.2397,Low
2,1,22,1,0.7554,High
5,6,12,4,0.5201,Medium
5,4,18,2,0.6021,Medium
6,10,14,4,0.7456,High
19,4,17,4,0.3944,Low
8,5,2,4,0.5528,Medium
16,3,14,6,0.427,Medium
13,12,14,5,0.4841,Medium
1,2,4,1,0.4241,Medium
22,10,12,2,0.3334,Low
20,8,23,4,0.6445,Medium
17,11,19,4,0.4358,Medium
7,7,15,3,0.285,Low
25,10,21,4,0.485,Medium
13,4,19,3,0.5764,Medium
4,2,14,2,0.3151,Low
4,12,13,4,0.3979,Low
6,9,8,6,0.7887,High
19,8,20,0,0.5009,Medium
12,4,17,1,0.331,Low
22,11,16,0,0.4212,Medium
7,5,4,6,0.3289,Low
10,10,14,5,0.7155,High
19,6,23,5,0.6587,High
7,4,10,5,0.2605,Low
3,2,21,6,0.5706,Medium
13,5,11,4,0.4529,Medium
13,11,6,4,0.4656,Medium
18,1,19,3,0.3316,Low
20,7,20,2,0.4645,Medium
8,9,8,0,0.5136,Medium
9,3,2,6,0.9253,High
7,6,16,4,0.315,Low
1,9,23,1,0.8787,High
3,11,8,1,0.5333,Medium
13,4,10,2,0.4116,Medium
25,6,13,6,0.3717,Low
17,3,9,6,0.4273,Medium
25,9,3,5,0.5657,Medium
24,7,15,0,0.3323,Low
1,7,15,6,0.7812,High
6,4,11,3,0.7377,High
21,6,5,3,0.5501,Medium
6,11,6,6,0.7297,High
12,11,22,5,0.5948,Medium
13,8,7,3,0.5694,Medium
13,6,5,5,0.5348,Medium
15,6,6,3,0.6862,High
21,4,8,6,0.529,Medium
16,8,15,1,0.3433,Low
22,10,21,1,0.4871,Medium
21,8,12,4,0.4713,Medium
11,9,14,4,0.1414,Low
5,6,17,6,0.7311,High
4,2,3,5,0.7071,High
3,4,4,0,0.3634,Low
19,4,7,0,0.3632,Low
20,8,3,2,0.6184,Medium
25,5,16,5,0.3473,Low
18,4,16,1,0.281,Low
15,8,1,2,0.9944,High
9,3,23,3,0.9026,High
17,2,15,6,0.1753,Low
14,4,18,4,0.4977,Medium
15,11,21,4,0.8833,High
1,1,6,2,0.4904,Medium
21,1,10,6,0.3127,Low
22,5,0,2,0.4474,Medium
22,11,20,1,0.5749,Medium
3,1,17,3,0.4933,Medium
16,4,6,5,0.3872,Low
23,8,12,0,0.4717,Medium
25,8,2,0,0.5307,Medium
11,2,8,2,0.1784,Low
12,3,16,2,0.269,Low
10,3,1,2,0.8879,High
16,1,14,0,0.246,Low
8,11,8,4,0.4943,Medium
6,3,6,4,0.5802,Medium
12,8,18,6,0.6529,High
24,6,10,0,0.3743,Low
21,5,23,4,0.6889,High
8,10,20,1,0.6233,Medium
4,12,17,5,0.719,High
8,9,16,2,0.4837,Medium
18,7,21,5,0.5682,Medium
5,6,3,3,0.6501,High
9,5,1,3,0.9264,High
4,5,16,4,0.4521,Medium
22,10,22,0,0.6055,Medium
17,9,19,5,0.5602,Medium
9,10,0,1,0.9773,High
1,6,12,5,0.7521,High
21,12,9,3,0.5301,Medium
20,11,16,3,0.3632,Low
13,4,22,4,0.7253,High
16,4,20,0,0.4285,Medium
13,12,16,3,0.4536,Medium
14,4,10,6,0.4287,Medium
3,11,8,1,0.6338,Medium
6,6,2,2,0.9179,High
18,1,9,6,0.3757,Low
19,9,16,0,0.2334,Low
5,2,15,5,0.4677,Medium
15,2,15,2,0.542,Medium
25,5,14,6,0.2495,Low
2,12,12,5,0.7074,High
10,12,1,2,0.933,High
24,11,5,0,0.3862,Low
18,4,2,1,0.4682,Medium
13,3,23,5,0.7562,High
5,5,0,1,0.662,High
23,7,16,5,0.4687,Medium
24,10,23,6,0.732,High
1,2,0,4,0.7223,High
22,6,10,6,0.4259,Medium
1,4,3,0,0.8159,High
18,2,10,0,0.2119,Low
15,1,12,5,0.5368,Medium
17,8,21,4,0.4963,Medium
11,5,16,1,0.287,Low
21,10,19,6,0.5827,Medium
25,2,20,5,0.4039,Medium
22,8,12,0,0.2602,Low
17,3,16,0,0.3198,Low
13,7,1,5,0.7035,High
1,2,1,2,0.7788,High
2,7,21,2,0.9288,High
9,4,17,1,0.7072,High
3,10,5,6,0.526,Medium
1,1,1,2,0.7955,High
21,5,22,2,0.6732,High
16,12,10,1,0.1306,Low
23,12,16,1,0.2543,Low
6,4,8,4,0.7116,High
17,8,19,0,0.6291,Medium
5,1,4,0,0.3043,Low
5,2,19,1,0.4822,Medium
6,5,14,1,0.6444,Medium
3,10,16,3,0.4511,Medium
21,10,9,5,0.7089,High
23,12,5,5,0.3379,Low
5,2,12,5,0.4332,Medium
21,11,20,2,0.6822,High
5,1,15,3,0.2473,Low
10,6,23,0,0.9665,High
10,12,1,1,0.8322,High
19,12,19,4,0.3678,Low
17,10,4,5,0.4475,Medium
21,4,23,0,0.7377,High
14,5,16,1,0.2699,Low
9,3,6,5,0.7822,High
14,10,23,0,0.5859,Medium
1,6,16,3,0.5967,Medium
19,4,4,6,0.2701,Low
13,6,5,1,0.5915,Medium
13,5,9,2,0.5769,Medium
4,11,4,6,0.5918,Medium
1,2,13,4,0.513,Medium
17,4,19,1,0.4016,Medium
8,2,13,0,0.3474,Low
2,5,1,5,0.9409,High
8,3,8,6,0.5735,Medium
7,6,17,6,0.5906,Medium
2,11,17,6,0.8485,High
22,5,21,5,0.4223,Medium
22,2,8,1,0.2826,Low
3,10,4,2,0.476,Medium
18,11,17,2,0.4952,Medium
12,8,11,6,0.421,Medium
1,6,5,6,0.7375,High
22,9,16,5,0.3479,Low
12,3,13,1,0.3114,Low
5,11,9,3,0.5422,Medium
25,4,18,5,0.5723,Medium
17,11,2,4,0.6938,High
16,8,9,6,0.4193,Medium
15,7,13,4,0.7245,High
23,8,14,2,0.3356,Low
15,9,15,0,0.5742,Medium
5,8,5,5,0.5678,Medium
21,8,13,6,0.4419,Medium
14,6,3,2,0.6467,Medium
2,11,12,6,0.8221,High
11,2,7,5,0.3338,Low
19,12,22,3,0.578,Medium
7,7,8,5,0.4281,Medium
6,4,20,2,0.6029,Medium
2,3,10,3,0.5911,Medium
6,4,4,3,0.547,Medium
18,4,4,0,0.2706,Low
2,3,17,1,0.8564,High
18,9,15,0,0.2877,Low
15,3,22,0,0.8545,High
19,2,18,5,0.4867,Medium
2,1,23,1,0.9015,High
20,11,8,1,0.4266,Medium
25,1,10,1,0.1611,Low
6,5,10,0,0.6274,Medium
1,12,13,2,0.6294,Medium
24,12,9,2,0.3087,Low
15,5,8,6,0.8173,High
23,12,4,0,0.3207,Low
10,9,10,1,0.5508,Medium
19,4,8,0,0.2442,Low
17,5,12,6,0.308,Low
5,6,18,2,0.5904,Medium
4,10,7,1,0.5219,Medium
10,7,22,0,0.9499,High
24,9,3,2,0.5093,Medium
17,6,11,1,0.3603,Low
10,1,6,6,0.6,Medium
17,8,23,1,0.5162,Medium
20,2,7,4,0.192,Low
24,9,18,1,0.3567,Low
5,11,22,2,0.7023,High
2,7,7,2,0.7744,High
